visual_name,property_category,property_name,property_description,property_values
actionButton,background,color,Color,Expected type: color
actionButton,background,show,Show,Expected type: boolean
actionButton,background,transparency,Transparency,Expected type: number
actionButton,border,color,Color,Expected type: color
actionButton,border,radius,Radius,Expected type: number
actionButton,border,show,Show,Expected type: boolean
actionButton,border,width,Width,Expected type: number
actionButton,divider,color,Color,Expected type: color
actionButton,divider,ignorePadding,Ignore padding,Expected type: boolean
actionButton,divider,show,Show,Expected type: boolean
actionButton,divider,style,Line style,"solid, dashed, dotted"
actionButton,divider,width,Width,Expected type: number
actionButton,dropShadow,angle,Angle,Expected type: number
actionButton,dropShadow,color,Color,Expected type: color
actionButton,dropShadow,position,Shadow position,"Outer, Inner"
actionButton,dropShadow,preset,Preset,"BottomRight, Bottom, BottomLeft, CenterRight, Center, CenterLeft, TopRight, Top, TopLeft, Custom"
actionButton,dropShadow,shadowBlur,Blur,Expected type: number
actionButton,dropShadow,shadowDistance,Distance,Expected type: number
actionButton,dropShadow,shadowSpread,Size,Expected type: number
actionButton,dropShadow,show,Show,Expected type: boolean
actionButton,dropShadow,transparency,Transparency,Expected type: number
actionButton,general,allowBinnedLineSample,High density sampling,Expected type: boolean
actionButton,general,allowOverlappingPointsSample,High density sampling,Expected type: boolean
actionButton,general,altText,Alt text,Expected type: string
actionButton,general,height,Height,Expected type: number
actionButton,general,keepLayerOrder,Maintain layer order,Expected type: boolean
actionButton,general,width,Width,Expected type: number
actionButton,general,x,X Position,Expected type: number
actionButton,general,y,Y Position,Expected type: number
actionButton,lockAspect,show,Show,Expected type: boolean
actionButton,padding,bottom,Bottom padding,Expected type: number
actionButton,padding,left,Left padding,Expected type: number
actionButton,padding,right,Right padding,Expected type: number
actionButton,padding,top,Top padding,Expected type: number
actionButton,spacing,customizeSpacing,Customize spacing,Expected type: boolean
actionButton,spacing,spaceBelowSubTitle,Space below subtitle,Expected type: number
actionButton,spacing,spaceBelowTitle,Space below title,Expected type: number
actionButton,spacing,spaceBelowTitleArea,Space below title area,Expected type: number
actionButton,spacing,verticalSpacing,Space between label and value,Expected type: number
actionButton,stylePreset,name,Style,Expected type: string
actionButton,subTitle,alignment,Color,"left, center, right"
actionButton,subTitle,bold,Bold,Expected type: boolean
actionButton,subTitle,fontColor,Color,Expected type: color
actionButton,subTitle,fontFamily,Font family,Expected type: string
actionButton,subTitle,fontSize,Color,Expected type: number
actionButton,subTitle,heading,Title heading,"Normal, Heading2, Heading3, Heading4, Heading5, Heading6"
actionButton,subTitle,italic,Italic,Expected type: boolean
actionButton,subTitle,show,Show,Expected type: boolean
actionButton,subTitle,text,Title text,Expected type: string
actionButton,subTitle,titleWrap,Word wrap,Expected type: boolean
actionButton,subTitle,underline,Underline,Expected type: boolean
actionButton,title,alignment,Color,"left, center, right"
actionButton,title,background,Color,Expected type: color
actionButton,title,bold,Bold,Expected type: boolean
actionButton,title,fontColor,Color,Expected type: color
actionButton,title,fontFamily,Font family,Expected type: string
actionButton,title,fontSize,Color,Expected type: number
actionButton,title,heading,Title heading,"Normal, Heading2, Heading3, Heading4, Heading5, Heading6"
actionButton,title,italic,Italic,Expected type: boolean
actionButton,title,show,Show,Expected type: boolean
actionButton,title,text,Title text,Expected type: string
actionButton,title,titleWrap,Word wrap,Expected type: boolean
actionButton,title,underline,Underline,Expected type: boolean
actionButton,visualHeader,background,Color,Expected type: color
actionButton,visualHeader,border,Color,Expected type: color
actionButton,visualHeader,foreground,Color,Expected type: color
actionButton,visualHeader,show,Show,Expected type: boolean
actionButton,visualHeader,showCommentButton,Comment button,Expected type: boolean
actionButton,visualHeader,showCopyVisualImageButton,Copy icon,Expected type: boolean
actionButton,visualHeader,showDrillDownExpandButton,Expand to next level icon,Expected type: boolean
actionButton,visualHeader,showDrillDownLevelButton,Show next level icon,Expected type: boolean
actionButton,visualHeader,showDrillRoleSelector,Drill on dropdown,Expected type: boolean
actionButton,visualHeader,showDrillToggleButton,Drill down icon,Expected type: boolean
actionButton,visualHeader,showDrillUpButton,Drill up icon,Expected type: boolean
actionButton,visualHeader,showFilterRestatementButton,Filter icon,Expected type: boolean
actionButton,visualHeader,showFocusModeButton,Focus mode icon,Expected type: boolean
actionButton,visualHeader,showFollowVisualButton,Follow visual button,Expected type: boolean
actionButton,visualHeader,showOptionsMenu,More options icon,Expected type: boolean
actionButton,visualHeader,showPersonalizeVisualButton,Personalize visual,Expected type: boolean
actionButton,visualHeader,showPinButton,Pin icon,Expected type: boolean
actionButton,visualHeader,showSeeDataLayoutToggleButton,See data layout icon,Expected type: boolean
actionButton,visualHeader,showSetAlertButton,Set alert button,Expected type: boolean
actionButton,visualHeader,showSmartNarrativeButton,Smart narrative,Expected type: boolean
actionButton,visualHeader,showTooltipButton,Visual header tooltip icon,Expected type: boolean
actionButton,visualHeader,showVisualErrorButton,Visual error icon,Expected type: boolean
actionButton,visualHeader,showVisualInformationButton,Visual information icon,Expected type: boolean
actionButton,visualHeader,showVisualWarningButton,Visual warning icon,Expected type: boolean
actionButton,visualHeader,transparency,Transparency,Expected type: number
actionButton,visualHeaderTooltip,background,Color,Expected type: color
actionButton,visualHeaderTooltip,bold,Bold,Expected type: boolean
actionButton,visualHeaderTooltip,fontFamily,Font family,Expected type: string
actionButton,visualHeaderTooltip,fontSize,Color,Expected type: number
actionButton,visualHeaderTooltip,italic,Italic,Expected type: boolean
actionButton,visualHeaderTooltip,section,Page,Expected type: string
actionButton,visualHeaderTooltip,text,Tooltip text,Expected type: string
actionButton,visualHeaderTooltip,themedBackground,Color,Expected type: color
actionButton,visualHeaderTooltip,themedTitleFontColor,Color,Expected type: color
actionButton,visualHeaderTooltip,titleFontColor,Color,Expected type: color
actionButton,visualHeaderTooltip,transparency,Transparency,Expected type: number
actionButton,visualHeaderTooltip,type,Type,"Default, Canvas"
actionButton,visualHeaderTooltip,underline,Underline,Expected type: boolean
actionButton,visualLink,bookmark,Bookmark,Expected type: string
actionButton,visualLink,dataFunction,Color,Expected type: object
actionButton,visualLink,dataFunction.byReference,Color,Expected type: object
actionButton,visualLink,dataFunction.byReference.itemId,Color,Expected type: string
actionButton,visualLink,dataFunction.byReference.workspaceId,Color,Expected type: string
actionButton,visualLink,dataFunction.byReference.folderId,Color,Expected type: string
actionButton,visualLink,disabledTooltip,Disabled tooltip,Expected type: string
actionButton,visualLink,drillthroughSection,Destination,Expected type: string
actionButton,visualLink,enabledTooltip,Enabled tooltip,Expected type: string
actionButton,visualLink,navigationSection,Destination,Expected type: string
actionButton,visualLink,show,Show,Expected type: boolean
actionButton,visualLink,showDefaultTooltip,Show tooltips,Expected type: boolean
actionButton,visualLink,suppressDefaultTooltip,No tooltips,Expected type: boolean
actionButton,visualLink,tooltip,Tooltip,Expected type: string
actionButton,visualLink,tooltipPlaceholderText,Placeholder for tooltip,Expected type: string
actionButton,visualLink,type,Type,"Back, Bookmark, Drillthrough, PageNavigation, Qna, WebUrl, ApplyAllSlicers, ClearAllSlicers, DataFunction"
actionButton,visualLink,webUrl,Web URL,Expected type: string
actionButton,visualTooltip,actionFontColor,Color,Expected type: color
actionButton,visualTooltip,background,Color,Expected type: color
actionButton,visualTooltip,bold,Bold,Expected type: boolean
actionButton,visualTooltip,fontFamily,Font family,Expected type: string
actionButton,visualTooltip,fontSize,Color,Expected type: number
actionButton,visualTooltip,italic,Italic,Expected type: boolean
actionButton,visualTooltip,section,Page,Expected type: string
actionButton,visualTooltip,show,Show,Expected type: boolean
actionButton,visualTooltip,themedBackground,Color,Expected type: color
actionButton,visualTooltip,themedTitleFontColor,Color,Expected type: color
actionButton,visualTooltip,themedValueFontColor,Color,Expected type: color
actionButton,visualTooltip,titleFontColor,Color,Expected type: color
actionButton,visualTooltip,transparency,Transparency,Expected type: number
actionButton,visualTooltip,type,Type,"Default, Canvas"
actionButton,visualTooltip,underline,Underline,Expected type: boolean
actionButton,visualTooltip,valueFontColor,Color,Expected type: color
actionButton,fill,$id,Color,"default, hover, selected, disabled"
actionButton,fill,fillColor,Color,Expected type: color
actionButton,fill,image,Color,Expected type: object
actionButton,fill,image.name,Color,Expected type: string
actionButton,fill,image.url,Color,Expected type: string
actionButton,fill,image.scaling,Color,"Normal, Fit, Fill"
actionButton,fill,show,Show,Expected type: boolean
actionButton,fill,transparency,Transparency,Expected type: number
actionButton,glow,$id,Color,"default, hover, selected, disabled"
actionButton,glow,color,Color,Expected type: color
actionButton,glow,shadowBlur,Blur,Expected type: number
actionButton,glow,show,Show,Expected type: boolean
actionButton,glow,transparency,Transparency,Expected type: number
actionButton,icon,$id,Color,"default, hover, selected, disabled"
actionButton,icon,bottomMargin,Bottom margin,Expected type: integer
actionButton,icon,horizontalAlignment,Color,"left, center, right"
